Epoch,accuracy,loss,val_accuracy,val_loss
1,0.5163043737411499,0.7009793519973755,0.7580645084381104,0.6156368851661682
2,0.7409420013427734,0.592833399772644,0.774193525314331,0.5511032938957214
3,0.7554348111152649,0.5328167080879211,0.725806474685669,0.5178781151771545
4,0.7626811861991882,0.4953627586364746,0.725806474685669,0.5029643177986145
5,0.760869562625885,0.4762651324272156,0.7419354915618896,0.49958691000938416
6,0.7663043737411499,0.4668390452861786,0.7419354915618896,0.5010641813278198
7,0.7681159377098083,0.46068274974823,0.725806474685669,0.5018211603164673
8,0.7753623127937317,0.4557687044143677,0.725806474685669,0.5027093291282654
9,0.7789855003356934,0.45175614953041077,0.725806474685669,0.5031977891921997
10,0.7771739363670349,0.4483127295970917,0.725806474685669,0.5034218430519104
11,0.7771739363670349,0.445309579372406,0.7096773982048035,0.504777193069458
12,0.7789855003356934,0.44253861904144287,0.7096773982048035,0.5058616995811462
13,0.7807971239089966,0.4400593042373657,0.7096773982048035,0.5073477029800415
14,0.7844203114509583,0.4376155436038971,0.7096773982048035,0.5087217092514038
15,0.7844203114509583,0.4352560341358185,0.7096773982048035,0.510068416595459
16,0.7862318754196167,0.4329831898212433,0.7096773982048035,0.5110145211219788
17,0.7862318754196167,0.43075957894325256,0.7096773982048035,0.5115657448768616
18,0.7862318754196167,0.42864206433296204,0.7096773982048035,0.5138575434684753
19,0.7880434989929199,0.4266962707042694,0.7096773982048035,0.5146489143371582
20,0.7880434989929199,0.4244503378868103,0.7096773982048035,0.5156266689300537
21,0.7880434989929199,0.42251864075660706,0.7096773982048035,0.5176767706871033
22,0.7898550629615784,0.420512855052948,0.7096773982048035,0.5192501544952393
23,0.7916666865348816,0.41857585310935974,0.7096773982048035,0.5206800699234009
24,0.7898550629615784,0.41645577549934387,0.7096773982048035,0.5232452750205994
25,0.79347825050354,0.4145337641239166,0.725806474685669,0.5250364542007446
26,0.79347825050354,0.4123777449131012,0.725806474685669,0.5275586247444153
27,0.7971014380455017,0.41042235493659973,0.725806474685669,0.5285001397132874
28,0.7971014380455017,0.4082878828048706,0.725806474685669,0.5305032134056091
29,0.7989130616188049,0.4063875079154968,0.7096773982048035,0.532270610332489
30,0.8025362491607666,0.4042559862136841,0.7096773982048035,0.5335002541542053
31,0.8007246255874634,0.40216177701950073,0.7096773982048035,0.5357970595359802
32,0.8025362491607666,0.40006521344184875,0.7096773982048035,0.5380246639251709
33,0.8079710006713867,0.3980351984500885,0.7096773982048035,0.5410424470901489
34,0.8097826242446899,0.39594197273254395,0.7096773982048035,0.5428992509841919
35,0.8134058117866516,0.393729567527771,0.7096773982048035,0.5458481907844543
36,0.8097826242446899,0.3915957808494568,0.725806474685669,0.5479910373687744
37,0.8097826242446899,0.38941824436187744,0.725806474685669,0.5499306917190552
38,0.8097826242446899,0.38747185468673706,0.725806474685669,0.5521537065505981
