Epoch,accuracy,loss,val_accuracy,val_loss
1,0.5362318754196167,0.7104818820953369,0.725806474685669,0.6495202779769897
2,0.6503623127937317,0.6526578664779663,0.7580645084381104,0.6005977392196655
3,0.6811594367027283,0.6091278195381165,0.7580645084381104,0.561942994594574
4,0.7028985619544983,0.5742664337158203,0.7580645084381104,0.5267050862312317
5,0.7228260636329651,0.5462549328804016,0.7419354915618896,0.5047196745872498
6,0.7445651888847351,0.5253289937973022,0.7419354915618896,0.49457332491874695
7,0.7554348111152649,0.5093958377838135,0.7419354915618896,0.48338672518730164
8,0.7681159377098083,0.49719905853271484,0.7419354915618896,0.48168236017227173
9,0.7735507488250732,0.48744454979896545,0.7419354915618896,0.47904327511787415
10,0.7807971239089966,0.48037078976631165,0.7580645084381104,0.4793483316898346
11,0.782608687877655,0.47460252046585083,0.7580645084381104,0.4795064628124237
12,0.7699275612831116,0.46993035078048706,0.774193525314331,0.4859364330768585
13,0.77173912525177,0.4657702147960663,0.7580645084381104,0.4811708629131317
14,0.7771739363670349,0.4626678228378296,0.7580645084381104,0.4831368923187256
15,0.7789855003356934,0.4584546983242035,0.7580645084381104,0.48290571570396423
16,0.7735507488250732,0.45578882098197937,0.7580645084381104,0.4827756881713867
17,0.7789855003356934,0.4533798098564148,0.774193525314331,0.4892292022705078
18,0.7862318754196167,0.4517759382724762,0.774193525314331,0.48647621273994446
19,0.7880434989929199,0.4496315121650696,0.774193525314331,0.49017658829689026
20,0.7916666865348816,0.4466841220855713,0.7580645084381104,0.4900183379650116
21,0.79347825050354,0.44456154108047485,0.7580645084381104,0.48953378200531006
