Epoch,accuracy,loss,val_accuracy,val_loss
1,0.39291465282440186,0.7674011588096619,0.5571428537368774,0.6926774382591248
2,0.5990338325500488,0.6656447649002075,0.7428571581840515,0.611336350440979
3,0.695652186870575,0.6092577576637268,0.7428571581840515,0.5603207349777222
4,0.7198067903518677,0.5695593357086182,0.7714285850524902,0.523316502571106
5,0.729468584060669,0.540104866027832,0.7857142686843872,0.49630704522132874
6,0.7423510551452637,0.5188726782798767,0.7857142686843872,0.4788188934326172
7,0.7520129084587097,0.504390299320221,0.7857142686843872,0.46876999735832214
8,0.7536231875419617,0.49463775753974915,0.7857142686843872,0.46292418241500854
9,0.7552334666252136,0.4876689910888672,0.7857142686843872,0.45931124687194824
10,0.760064423084259,0.48213139176368713,0.7857142686843872,0.45665228366851807
11,0.7665056586265564,0.47754859924316406,0.7857142686843872,0.4540136456489563
12,0.7648953199386597,0.47373154759407043,0.7857142686843872,0.4521826505661011
13,0.7665056586265564,0.470223993062973,0.7857142686843872,0.45068496465682983
14,0.7665056586265564,0.4669700562953949,0.7857142686843872,0.4487304985523224
15,0.7697262763977051,0.4640859067440033,0.7857142686843872,0.44688475131988525
16,0.7632850408554077,0.46146056056022644,0.7857142686843872,0.44527381658554077
17,0.7665056586265564,0.4591512680053711,0.7857142686843872,0.44390612840652466
18,0.7665056586265564,0.45691946148872375,0.7857142686843872,0.4423366189002991
19,0.7681159377098083,0.4549151062965393,0.7857142686843872,0.44110822677612305
20,0.7681159377098083,0.4529855251312256,0.800000011920929,0.44009929895401
21,0.7681159377098083,0.4511454403400421,0.800000011920929,0.43928849697113037
